CMDLINE /home/moon/anaconda3/envs/ultra/bin/python3.7 main.py --config_file config/profile_m1_config.ini
MEM 1.804688 1662729924.9235
MEM 28.933594 1662729925.0237
MEM 45.773438 1662729925.1241
MEM 150.468750 1662729925.2243
MEM 186.609375 1662729925.3247
MEM 216.308594 1662729925.4250
MEM 235.894531 1662729925.5260
MEM 217.878906 1662729925.6263
MEM 249.074219 1662729925.7268
MEM 278.207031 1662729925.8272
MEM 298.832031 1662729925.9276
MEM 323.582031 1662729926.0281
MEM 350.910156 1662729926.1285
MEM 357.503906 1662729926.2289
MEM 361.566406 1662729926.3291
MEM 364.066406 1662729926.4294
MEM 369.316406 1662729926.5297
MEM 372.078125 1662729926.6299
MEM 380.062500 1662729926.7302
MEM 382.812500 1662729926.8305
MEM 385.562500 1662729926.9308
MEM 388.312500 1662729927.0311
MEM 391.312500 1662729927.1313
MEM 403.816406 1662729927.2317
MEM 406.816406 1662729927.3320
MEM 409.566406 1662729927.4323
MEM 412.316406 1662729927.5326
MEM 415.066406 1662729927.6328
MEM 417.828125 1662729927.7331
MEM 420.566406 1662729927.8334
MEM 423.316406 1662729927.9337
MEM 426.320312 1662729928.0340
MEM 429.066406 1662729928.1342
MEM 431.816406 1662729928.2345
MEM 444.320312 1662729928.3349
MEM 447.066406 1662729928.4352
MEM 450.066406 1662729928.5355
MEM 452.816406 1662729928.6358
MEM 455.578125 1662729928.7361
MEM 458.320312 1662729928.8364
MEM 461.066406 1662729928.9366
MEM 463.816406 1662729929.0369
MEM 466.566406 1662729929.1372
MEM 469.566406 1662729929.2375
MEM 472.320312 1662729929.3378
MEM 475.070312 1662729929.4380
MEM 477.820312 1662729929.5383
MEM 480.566406 1662729929.6386
MEM 483.316406 1662729929.7389
MEM 486.066406 1662729929.8392
MEM 488.816406 1662729929.9399
MEM 491.566406 1662729930.0402
MEM 494.316406 1662729930.1406
MEM 497.066406 1662729930.2409
MEM 499.816406 1662729930.3412
MEM 522.316406 1662729930.4415
MEM 525.066406 1662729930.5418
MEM 527.816406 1662729930.6421
MEM 530.566406 1662729930.7424
MEM 533.316406 1662729930.8427
MEM 536.316406 1662729930.9429
